species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Pseudomonas fulva,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas fulva,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas glycinae,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas glycinae,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas glycinae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas juntendi,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas juntendi,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas juntendi,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas marginalis,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas marginalis,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas marginalis,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas monteilii,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas monteilii,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas monteilii,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas paracarnis,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas paracarnis,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas paracarnis,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas protegens,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas protegens,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas protegens,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas putida,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas putida,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas putida,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas syringae,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas syringae,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas syringae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Salmonella arizonae,enterobase-v2.3,Genome_Size,4000000,5800000,,,external,,4000000,5800000,,,,,,
Salmonella arizonae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Salmonella arizonae,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Salmonella bongori,enterobase-v2.3,Genome_Size,4000000,5800000,,,external,,4000000,5800000,,,,,,
Salmonella bongori,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Salmonella bongori,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Salmonella enterica,enterobase-v2.3,Genome_Size,4000000,5800000,,,external,,4000000,5800000,,,,,,
Salmonella enterica,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Salmonella enterica,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus agalactiae,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus agalactiae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus agalactiae,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus anginosus,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus anginosus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus anginosus,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus canis,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus canis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus canis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus dysgalactiae,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus dysgalactiae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus dysgalactiae,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
